Date,League,Home_Team,Away_Team,FTR,FTHG,FTAG,HS,AS,HST,AST,Home_ELO,Away_ELO,Home_Win_Streak,Away_Win_Streak,Home_Loss_Streak,Away_Loss_Streak,Home_Unbeaten_Streak,Away_Unbeaten_Streak,Home_Winless_Streak,Away_Winless_Streak,Home_Points_Last_5,Away_Points_Last_5,Home_Points_Last_10,Away_Points_Last_10,Home_Points_Last_20,Away_Points_Last_20,Home_Net_FTG,Away_Net_FTG,Home_Net_S,Away_Net_S,Home_Net_ST,Away_Net_ST,FTHG_Conceded,FTAG_Conceded,HST_Conceded,AST_Conceded,HS_Conceded,AS_Conceded
2023-08-11,SP1,Almeria,Vallecano,0,0,2,19,10,5,4,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,9,-9,1,-1,2,0,4,5,10,19
2023-08-11,SP1,Sevilla,Valencia,0,1,2,9,10,3,3,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,2,1,3,3,10,9
2023-08-12,SP1,Sociedad,Girona,1,1,1,15,6,2,1,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-9,1,-1,1,1,1,2,6,15
2023-08-12,SP1,Las Palmas,Mallorca,1,1,1,5,12,2,2,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,7,0,0,1,1,2,2,12,5
2023-08-12,SP1,Athletic Club,Real Madrid,0,0,2,7,14,1,8,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-7,7,-7,7,2,0,8,1,14,7
2023-08-13,SP1,Celta,Osasuna,0,0,2,11,11,1,5,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,-4,4,2,0,5,1,11,11
2023-08-13,SP1,Villarreal,Betis,0,1,2,18,12,5,5,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,6,-6,0,0,2,1,5,5,12,18
2023-08-13,SP1,Getafe,Barcelona,1,0,0,5,14,2,4,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,9,-2,2,0,0,4,2,14,5
2023-08-14,SP1,Cadiz,Alaves,2,1,0,12,10,3,2,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,1,-1,0,1,2,3,10,12
2023-08-14,SP1,Ath Madrid,Granada,2,3,1,14,7,6,4,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,7,-7,2,-2,1,3,4,6,7,14
